flan_rdm,brain_network,correlation,p_value
one_word,languageLH,0.1381863584002747,1.6532562382369787e-69
one_word,visual,0.15474291251829964,6.797097334342126e-87
one_general,languageLH,0.1131219698587146,4.942867458220795e-47
one_general,visual,0.1100993490287123,1.2457174497338919e-44
one_distinct,languageLH,0.1508964813680121,1.1314614221633797e-82
one_distinct,visual,0.12598381325694757,5.4226883887719105e-58
five_general,languageLH,0.10627034947498976,1.1036319958818646e-41
five_general,visual,0.10234034690806249,9.082510881315115e-39
five_distinct,languageLH,0.13230623292678678,8.020072062056395e-64
five_distinct,visual,0.11284712453845311,8.223773811318297e-47
